            slug            |                            name                            |                                                        url                                                        | hierarchy |      lastFetchedAt      
----------------------------+------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+-----------+-------------------------
 dzs-place                  | DZS - Prosječne plaće                                      | https://dzs.gov.hr/                                                                                               |         5 | 2025-12-21 15:56:33.371
 eu-vat-directive           | EU - VAT Directive 2006/112/EC                             | https://eur-lex.europa.eu/legal-content/HR/TXT/?uri=CELEX:32006L0112                                              |         1 | 2025-12-21 15:56:56.835
 eur-lex                    | EUR-Lex (Official EU Law)                                  | https://eur-lex.europa.eu                                                                                         |         1 | 
 fina-fiskalizacija         | FINA - Fiskalizacija certifikati                           | https://www.fina.hr/fiskalizacija                                                                                 |         5 | 2025-12-21 15:55:06.764
 fina-bop                   | FINA - Jedinstveni registar računa                         | https://www.fina.hr/jedinstveni-registar-racuna                                                                   |         5 | 
 fina-oib                   | FINA - OIB                                                 | https://www.fina.hr/oib                                                                                           |         5 | 
 fina-obavijesti            | FINA - Obavijesti eRačun                                   | https://www.fina.hr/obavijesti/fina-e-racun                                                                       |         4 | 2025-12-21 17:29:09.95
 fina-eracun                | FINA - eRačun                                              | https://www.fina.hr/digitalizacija-poslovanja/e-racun                                                             |         5 | 
 hgk-pravni-okvir           | HGK - Pravni okvir                                         | https://www.hgk.hr/                                                                                               |         7 | 2025-12-21 15:56:31.233
 hnb-euro-konverzija        | HNB - Euro konverzija                                      | https://www.hnb.hr/o-nama/euro/konverzija                                                                         |         5 | 
 hnb-tecajevi               | HNB - Tečajna lista                                        | https://www.hnb.hr/temeljne-funkcije/monetarna-politika/tecajna-lista                                             |         5 | 2025-12-21 15:56:15.897
 hok-registar               | HOK - Obrtni registar                                      | https://www.hok.hr/obrtni-registar                                                                                |         7 | 
 hok-obrtnici               | HOK - Portal za obrtnike                                   | https://www.hok.hr/                                                                                               |         7 | 2025-12-21 15:56:24.461
 hok-clanarina              | HOK - Članarina obrtnika                                   | https://www.hok.hr/clanarina                                                                                      |         7 | 
 hzmo-doprinosi             | HZMO - Doprinosi za mirovinsko osiguranje                  | https://www.mirovinsko.hr/hr/doprinosi/72                                                                         |         5 | 2025-12-21 15:54:50.645
 hzmo-osnovica              | HZMO - Osnovica za obračun doprinosa                       | https://www.mirovinsko.hr/hr/osnovice-za-obracun-doprinosa/188                                                    |         5 | 2025-12-21 15:56:59.077
 hzmo-priopcenja            | HZMO - Priopćenja                                          | https://www.mirovinsko.hr/204                                                                                     |         4 | 2025-12-21 17:29:31.825
 hzmo-staze                 | HZMO - Staž osiguranja                                     | https://www.mirovinsko.hr/hr/staz-osiguranja/60                                                                   |         5 | 2025-12-21 15:57:01.227
 hzmo-vijesti               | HZMO - Vijesti                                             | https://www.mirovinsko.hr/114                                                                                     |         4 | 2025-12-21 17:29:29.675
 hzzo-doprinosi             | HZZO - Doprinosi za zdravstveno osiguranje                 | https://www.hzzo.hr/obvezno-osiguranje/                                                                           |         5 | 
 hzzo-novosti               | HZZO - Novosti                                             | https://hzzo.hr/novosti                                                                                           |         4 | 2025-12-21 17:29:21.986
 hzzo-obavijesti            | HZZO - Obavijesti                                          | https://hzzo.hr/obavijesti                                                                                        |         4 | 2025-12-21 17:29:24.646
 hzzo-osnovica              | HZZO - Osnovica za obračun doprinosa                       | https://www.hzzo.hr/osnovica-za-obracun-doprinosa/                                                                |         5 | 
 hzzo-e-zdravstveno         | HZZO - eZdravstveno novosti                                | https://hzzo.hr/e-zdravstveno/novosti                                                                             |         4 | 2025-12-21 17:29:27.256
 hnb                        | Hrvatska narodna banka                                     | https://www.hnb.hr                                                                                                |         3 | 
 mrms-minimalna-placa       | MRMS - Minimalna plaća                                     | https://www.mrms.hr/minimalna-placa/                                                                              |         4 | 2025-12-21 15:55:23.12
 mfin-proracun              | Ministarstvo financija - Državni proračun                  | https://mfin.gov.hr/proracun-86/86                                                                                |         4 | 2025-12-21 15:56:22.23
 mfin-novosti               | Ministarstvo financija - Novosti                           | https://mfin.gov.hr/vijesti/8                                                                                     |         3 | 2025-12-21 17:29:16.894
 mfin-porezni-sustav        | Ministarstvo financija - Porezni sustav                    | https://mfin.gov.hr/istaknute-teme/porezi/porezni-sustav-128/128                                                  |         4 | 2025-12-21 15:56:20.138
 narodne-novine             | Narodne novine                                             | https://narodne-novine.nn.hr                                                                                      |         2 | 
 nn-najnoviji               | Narodne novine - Najnoviji broj                            | https://narodne-novine.nn.hr/                                                                                     |         2 | 
 nn-opci-porezni-zakon      | Narodne novine - Opći porezni zakon                        | https://narodne-novine.nn.hr/clanci/sluzbeni/2017_12_115_2629.html                                                |         2 | 2025-12-21 15:55:44.26
 nn-pravilnik-pdv           | Narodne novine - Pravilnik o PDV-u                         | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_07_79_1633.html                                                 |         4 | 2025-12-21 15:56:42.189
 nn-pravilnik-doprinosi     | Narodne novine - Pravilnik o doprinosima                   | https://narodne-novine.nn.hr/clanci/sluzbeni/2009_01_2_44.html                                                    |         4 | 2025-12-21 15:56:48.974
