            slug            |                            name                            |                                                        url                                                        |      lastFetchedAt      | fetchIntervalHours | isActive 
----------------------------+------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------+-------------------------+--------------------+----------
 dzs-place                  | DZS - Prosječne plaće                                      | https://dzs.gov.hr/                                                                                               | 2025-12-21 15:56:33.371 |                168 | f
 eu-vat-directive           | EU - VAT Directive 2006/112/EC                             | https://eur-lex.europa.eu/legal-content/HR/TXT/?uri=CELEX:32006L0112                                              | 2025-12-21 15:56:56.835 |                336 | f
 eur-lex                    | EUR-Lex (Official EU Law)                                  | https://eur-lex.europa.eu                                                                                         |                         |                 24 | t
 fina-bop                   | FINA - Jedinstveni registar računa                         | https://www.fina.hr/jedinstveni-registar-racuna                                                                   |                         |                168 | f
 fina-eracun                | FINA - eRačun                                              | https://www.fina.hr/digitalizacija-poslovanja/e-racun                                                             |                         |                 24 | t
 fina-fiskalizacija         | FINA - Fiskalizacija certifikati                           | https://www.fina.hr/fiskalizacija                                                                                 | 2025-12-21 15:55:06.764 |                 24 | f
 fina-obavijesti            | FINA - Obavijesti eRačun                                   | https://www.fina.hr/obavijesti/fina-e-racun                                                                       | 2025-12-21 17:29:09.95  |                 24 | t
 fina-oib                   | FINA - OIB                                                 | https://www.fina.hr/oib                                                                                           |                         |                168 | f
 hgk-pravni-okvir           | HGK - Pravni okvir                                         | https://www.hgk.hr/                                                                                               | 2025-12-21 15:56:31.233 |                168 | f
 hnb                        | Hrvatska narodna banka                                     | https://www.hnb.hr                                                                                                |                         |                 24 | t
 hnb-euro-konverzija        | HNB - Euro konverzija                                      | https://www.hnb.hr/o-nama/euro/konverzija                                                                         |                         |                168 | f
 hnb-tecajevi               | HNB - Tečajna lista                                        | https://www.hnb.hr/temeljne-funkcije/monetarna-politika/tecajna-lista                                             | 2025-12-21 15:56:15.897 |                  4 | f
 hok-clanarina              | HOK - Članarina obrtnika                                   | https://www.hok.hr/clanarina                                                                                      |                         |                168 | f
 hok-obrtnici               | HOK - Portal za obrtnike                                   | https://www.hok.hr/                                                                                               | 2025-12-21 15:56:24.461 |                168 | f
 hok-registar               | HOK - Obrtni registar                                      | https://www.hok.hr/obrtni-registar                                                                                |                         |                168 | f
 hzmo-doprinosi             | HZMO - Doprinosi za mirovinsko osiguranje                  | https://www.mirovinsko.hr/hr/doprinosi/72                                                                         | 2025-12-21 15:54:50.645 |                 24 | f
 hzmo-osnovica              | HZMO - Osnovica za obračun doprinosa                       | https://www.mirovinsko.hr/hr/osnovice-za-obracun-doprinosa/188                                                    | 2025-12-21 15:56:59.077 |                 24 | f
 hzmo-priopcenja            | HZMO - Priopćenja                                          | https://www.mirovinsko.hr/204                                                                                     | 2025-12-21 17:29:31.825 |                 24 | t
 hzmo-staze                 | HZMO - Staž osiguranja                                     | https://www.mirovinsko.hr/hr/staz-osiguranja/60                                                                   | 2025-12-21 15:57:01.227 |                168 | f
 hzmo-vijesti               | HZMO - Vijesti                                             | https://www.mirovinsko.hr/114                                                                                     | 2025-12-21 17:29:29.675 |                 24 | t
 hzzo-doprinosi             | HZZO - Doprinosi za zdravstveno osiguranje                 | https://www.hzzo.hr/obvezno-osiguranje/                                                                           |                         |                 24 | f
 hzzo-e-zdravstveno         | HZZO - eZdravstveno novosti                                | https://hzzo.hr/e-zdravstveno/novosti                                                                             | 2025-12-21 17:29:27.256 |                 24 | t
 hzzo-novosti               | HZZO - Novosti                                             | https://hzzo.hr/novosti                                                                                           | 2025-12-21 17:29:21.986 |                 24 | t
 hzzo-obavijesti            | HZZO - Obavijesti                                          | https://hzzo.hr/obavijesti                                                                                        | 2025-12-21 17:29:24.646 |                 24 | t
 hzzo-osnovica              | HZZO - Osnovica za obračun doprinosa                       | https://www.hzzo.hr/osnovica-za-obracun-doprinosa/                                                                |                         |                 24 | f
 mfin-novosti               | Ministarstvo financija - Novosti                           | https://mfin.gov.hr/vijesti/8                                                                                     | 2025-12-21 17:29:16.894 |                 24 | t
 mfin-porezni-sustav        | Ministarstvo financija - Porezni sustav                    | https://mfin.gov.hr/istaknute-teme/porezi/porezni-sustav-128/128                                                  | 2025-12-21 15:56:20.138 |                168 | f
 mfin-proracun              | Ministarstvo financija - Državni proračun                  | https://mfin.gov.hr/proracun-86/86                                                                                | 2025-12-21 15:56:22.23  |                168 | f
 mrms-minimalna-placa       | MRMS - Minimalna plaća                                     | https://www.mrms.hr/minimalna-placa/                                                                              | 2025-12-21 15:55:23.12  |                168 | f
 narodne-novine             | Narodne novine                                             | https://narodne-novine.nn.hr                                                                                      |                         |                 24 | t
 narodne-novine-doprinosi   | Narodne novine - Zakon o doprinosima                       | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_106_2088.html                                                | 2025-12-21 15:55:27.63  |                168 | f
 narodne-novine-pausalni    | Narodne novine - Zakon o porezu na dohodak                 | https://narodne-novine.nn.hr/clanci/sluzbeni/2016_12_115_2519.html                                                | 2025-12-21 15:54:48.311 |                168 | f
 nn-najnoviji               | Narodne novine - Najnoviji broj                            | https://narodne-novine.nn.hr/                                                                                     |                         |                 24 | t
 nn-opci-porezni-zakon      | Narodne novine - Opći porezni zakon                        | https://narodne-novine.nn.hr/clanci/sluzbeni/2017_12_115_2629.html                                                | 2025-12-21 15:55:44.26  |                168 | f
 nn-pravilnik-dohodak       | Narodne novine - Pravilnik o porezu na dohodak             | https://narodne-novine.nn.hr/clanci/sluzbeni/2017_01_10_247.html                                                  | 2025-12-21 15:56:44.253 |                168 | f
 nn-pravilnik-doprinosi     | Narodne novine - Pravilnik o doprinosima                   | https://narodne-novine.nn.hr/clanci/sluzbeni/2009_01_2_44.html                                                    | 2025-12-21 15:56:48.974 |                168 | f
 nn-pravilnik-fiskalizacija | Narodne novine - Pravilnik o fiskalizaciji                 | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_12_146_3131.html                                                | 2025-12-21 15:56:46.46  |                168 | f
 nn-pravilnik-pdv           | Narodne novine - Pravilnik o PDV-u                         | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_07_79_1633.html                                                 | 2025-12-21 15:56:42.189 |                168 | f
 nn-sitemap                 | Narodne novine - Sitemap                                   | https://narodne-novine.nn.hr/sitemap.xml                                                                          | 2025-12-21 17:29:19.195 |                 24 | t
 nn-zakon-fiskalizacija     | Narodne novine - Zakon o fiskalizaciji u prometu gotovinom | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_12_133_2833.html                                                | 2025-12-21 15:55:36.313 |                168 | f
 nn-zakon-mirovinsko        | Narodne novine - Zakon o mirovinskom osiguranju            | https://narodne-novine.nn.hr/clanci/sluzbeni/2018_12_115_2262.html                                                | 2025-12-21 15:55:46.599 |                168 | f
 nn-zakon-obrtu             | Narodne novine - Zakon o obrtu                             | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_12_143_3065.html                                                | 2025-12-21 15:55:42.178 |                168 | f
 nn-zakon-pdv               | Narodne novine - Zakon o porezu na dodanu vrijednost       | https://narodne-novine.nn.hr/clanci/sluzbeni/2012_07_73_1715.html                                                 | 2025-12-21 15:55:34.25  |                168 | f
 nn-zakon-racunovodstvo     | Narodne novine - Zakon o računovodstvu                     | https://narodne-novine.nn.hr/clanci/sluzbeni/2015_07_78_1493.html                                                 | 2025-12-21 15:55:39.631 |                168 | f
 nn-zakon-zdravstveno       | Narodne novine - Zakon o obveznom zdravstvenom osiguranju  | https://narodne-novine.nn.hr/clanci/sluzbeni/2013_06_80_1669.html                                                 | 2025-12-21 15:55:48.996 |                168 | f
 porezna-doprinosi-stope    | Porezna uprava - Stope doprinosa                           | https://www.porezna-uprava.gov.hr/HR_Porezni_sustav/Stranice/doprinosi.aspx                                       | 2025-12-21 15:54:55.825 |                 24 | f
 porezna-eporezna           | Porezna uprava - ePorezna                                  | https://www.porezna-uprava.gov.hr/Stranice/ePorezna.aspx                                                          | 2025-12-21 15:56:04.277 |                 24 | f
